StudentID,ID,Staff,Date,Note
6,L3RumVa,May,20/02/2025,本（ベイマックス）まだ返ってきていないので、お訊きしましたが、もう少しで読み終わる、まだ読み終わっていないとのことで次回（2/27）持ってくるそうです
6,2Npl5Lw,May,27/02/2025,本日体調不良でキャンセルしたいとお電話あり。オンライン対応できるとのご案内した流れで、当日なのに間違えて振り替えのご案内もしてしまい明日にお振り替えになってしまいました、本当はだめなのにすみません…
6,RTAPdJo,Rie,28/02/2025,3月のスケジュール（全4回）とお支払い（CC）お済みです。ベイマックス返却されました。
6,nGWtxPA,May,27/03/2025,4月のスケジュール（全４回）とお支払い（CC）お済みです。
6,blSKMUO,May,10/09/2025,体調不良で当日キャンセル。
6,eRA0PCo,Manna,16/04/2025,メールにてご連絡あり。明日のレッスンを所要でお振替ご希望。ご希望の日程の中から空きをご案内し、返信待ち。
6,1Q0xu1z,Rie,18/04/2025,返信あり。再度日程調整中。返信待ち。
6,Jq1dsWO,Manna,20/04/2025,ご返信いただくも、調整できず。「本日空きはあるか？」とのお問い合わせもありましたが空きがなくご案内できず。4/23（水）で調整してみてまた連絡します、とのこと。（フミカさん対応）
6,26CETr1,Manna,22/04/2025,メールにてご連絡あり。明日の午前中急遽予定が空いたので、とレッスンご希望。4/17のお振替先は4/23（水）11時～で確定しました。
6,lsrerQs,May,24/04/2025,5月のお月謝（CC)とスケジュール4回分いただきました。
7,nTd2y9N,May,30/01/2025,２月のスケジュール（全４）、お支払い（現金）お済みです
7,kWdGq1c,Rie,30/01/2025,お電話にて2/19のレッスンを14時～を19時～にお振替。
7,J0pCcvU,May,26/02/2025,3月のスケジュール（全４）、お支払い（現金）お済みです
7,f2hPuCK,May,26/03/2025,４月のスケジュール（全４）、お支払い（現金）お済みです。誕生日だったとのことでSham先生の指示で紅茶２杯サービス。お花とチョコレートのおすそ分けを頂きました。
7,JZ65vq3,May,23/04/2025,5月のスケジュール（全４）、お支払い（現金）お済みです。
8,oQKZMnH,Manna,01/09/20222,シャムの方にメールを頂き、9日(水)19時のレッスンを、10日(木)19時にリスケジュール。
8,Vp5sFK1,Sara,10/05/2023,ご連絡あり。このところお仕事がお忙しく予定がたてられないため、しばらくお休みなさるそうです。状況が変わったらまたご連絡くださるとのこと。（メール返信Rieさん対応）
8,l4Xtffd,Sara,09/05/2023,５月は仮押さえの日程はご都合が合わないとのこと。今月の固定スケジュール外しています。代替日は明日中にご連絡いただける予定。
8,ITxRQ6p,Rie,27/04/2023,4／27 当日キャンセル。5月のスケジュールはご連絡待ちです。
8,5H8jVMI,Manna,13/04/2023,本日のレッスン時間に間に合わないということで当日キャンセル。シャムが4/20(木)19時でお振り替えをお受けしていましたが、ちょうど出産日辺りなのでレッスンキャンセルになるかもともお伝え済み。
11,JLP5f94,Kaz,15/07/2022,ご様子を伺うメールをしました。
11,q92C1OZ,Manna,21/05/2022,本日のレッスンは当日キャンセル。来月のスケジュールについてメールでお伺いしています。返信待ち。
11,WgldMFB,Manna,07/05/2022,5/14のレッスンをリスケジュールされたようで（←シャム対応？）本日いらっしゃいました。
11,hIkiE80,Manna,07/05/2022,５月分のレッスン料、クレジットカードでお支払い頂きました。
11,0dYgk5l,Manna,16/04/2022,4月分のレッスン料、現金でお支払い頂きました。５月はスケジュールだけ決めましたが、レッスン料のお支払いはまだです。5月14日(土)お支払い予定。
12,fJa1B8u,,05/10/2021,10月のレッスンはお休みされます。
12,VnS9ZBi,,28/09/2021,10月は入院するかもしれない為（現在、妊娠中）、レッスンお休みするかも。
13,NSyE9GL,Michelle,28/09/2021,"10月レッスンしない
11月に戻る"
13,QU1cVio,,04/09/2021,10月になったら、レッスン時間を(木)１１：００に戻すか伺う。
14,WRWdRmW,Rie,03/09/2024,返信あり。もう少し、時間がほしいとのことでした。本人の意思が固まったらご連絡くださるそうです。
14,jgmxKHJ,Manna,02/09/2024,夏休みが明けたので9月のスケジュールについてメールでお伺いしています。返信待ち。
14,NTo2DpL,Rie,11/06/2024,メールにてMovie Nightにお母様と由くん二人で参加希望のご連絡がありました。
14,USvoQC1,Rie,28/03/2024,本日は、ゆうくんのお祖父様、お祖母様がいらっしゃって、クッキーをいただきました。お母様はいらっしゃいませんでした。
14,Xk3Ni2N,Manna,15/03/2024,お母様がご来店され3/27のレッスンを3/28(木)15時～にお振り替えされました。
15,VlytF6q,Manna,01/01/1970,11月分のスケジュールお伺い済み。お支払いも済み。
15,tnxf1JT,Sara,28/06/2023,犬飼由佳子さんをご紹介いただき、D/Lお申し込みしました。もし犬飼さんがご入会なさったら加奈さんはご休会中なので、由くんのお月謝を一ヶ月間25％オフでいただいてください。
15,h6Bv813,Manna,07/06/2023,今日、ご子息の由君のレッスン時、由くんに持たせて木製のバターナイフを7本プレゼントして下さいました。
15,sRNcfJQ,Sara,02/05/2023,由くんの5月分をご来店してお支払いくださりました。その際に、今はインターナショナルスクールの事務をなさっているとお話くださりました。
15,IV7iP67,Sara,02/05/2023,9月くらいまではおやすみする予定とのこと。その間も由くんは変わらずご受講です（8月はおやすみかも？）
16,DYCpBt7,Manna,12/02/2022,ナツオの体調不良の為「2月17日(木)18時～」のレッスンのお振替えのお願いのメールを送っていて、返信待ちです。
16,Er4l2ZV,Manna,12/02/2022,⇒返信あり。2月22日(火)17時にお振替え。
16,r18acHB,Manna,27/01/2022,2月分のスケジュールとお支払い、クレジットカードでお済みです。
16,9c19JUG,Manna,13/01/2022,年始のグリーティングメールをご提示頂いたので、ドリンク代をサービスしました。
16,ETaym18,Manna,23/12/2021,1月分のレッスン料、クレジットカードでお支払い頂きました。スケジュールもお伺い済み。（木曜18時）
17,bh2liag,Manna,09/07/2024,ご返信を頂き、7/11（木）の17時にいらっしゃることになりました。（サニーさん対応）
17,I86UO4J,Manna,06/07/2024,メールにて、オーストラリアでのワーキングホリデーを辞め、10月からのアイルランドへのワーキングホリデーの為一時帰国されているそうです。そこで先生に会いたいとグリーンスクエアに訪れたいとご連絡を頂き、シャムがいる時間をお伝えしましました。（フミカさん対応）
17,TTfQNSn,Sunny,13/10/2023,本日が最後のレッスンのため、シャムの要望でドリンクフリーにしました。
17,m6YcZpw,Sara,12/10/2023,本日のレッスンを明日だと勘違いしていたようでシャムに確認したところ振替可能とのこと。10/13 18時～へお振替。
17,jBixnEL,Sara,10/10/2023,10月分のお支払済み（現金）。
18,mjErJna,Manna,03/03/2023,シャムにはご連絡いただいてたそうですが、お仕事を頑張りたいこともありしばらくお休みされるそうです。再開未定。再開時にはご連絡をくださるとの事です。
18,RDhl4lH,Manna,02/03/2023,3月になったのでご予定を伺うメールを送りました。返信待ち。
18,peYq5ik,Manna,26/01/2023,2月は1か月間お休みなさいます。3月再開予定。その時にまたご連絡くださるそうです。次回のレッスン料は頂いていません。
18,PIsCCsg,Manna,05/01/2023,21日のレッスンをキャンセルで、14日にお振り替えされました。
18,OVIWjSK,Manna,17/12/2022,1月分のスケジュール、お支払い、共にお済みです。（シャム対応）
19,9Ns9agc,Sara,28/02/2023,シャム対応で３月３日１１時にお振替。その日が最後のレッスンになるそうです。
19,wN4eO05,Manna,10/01/2023,シャムの体調不良のため、本日のレッスンのお振り替えをメールでお願いしました。
19,gyMMAeC,Kaz,15/10/2021,来週も金曜の11時にシャムとZoomレッスン。支払いの事をシャムに確認したがまだ表に記載されていない。（Wireの為）
19,NcthA7m,Kaz,24/09/2021,10月のレッスンは4回。1回目の10月1日レッスン時に次のスケジュールを決めたい。支払いはシャムの口座へ送るとのこと。
19,f0o3GiZ,Kaz,22/09/2021,24日レッスンを13時から11時に変更
20,8CN6tcT,Rie,05/09/2023,留学から帰国されましたが、留学費用分を補うためしばらくお休みしてお仕事されるそうです。再開には前向きでいらっしゃるようでした。再開の際はご連絡くださいませとお伝えしました。
20,HHlUu6R,Manna,30/08/2023,９月のスケジュールについてメールでお伺いしています。返信待ち。
20,4VZKKEE,Sara,26/04/2023,本日のレッスン以降、8月末までアメリカにご留学にいかれるので、9月になったらスケジュールお伺いする。
20,KFaOPed,Sara,26/04/2023,英語の勉強法について質問を受け、シャムトークを使ったシャドーイングをおすすめしました。
20,EOpUt6L,Manna,14/04/2023,レッスン前に、4月分のお支払いお済み（現金）。2回目のスケジュールも、レッスン後に相談して決定。
21,ZYEu7YF,Manna,04/01/2025,現時点でご連絡なし。板橋区にお引越しされたこともあるので、今後連絡しない。
21,qwfjBpX,May,19/02/2025,電話あり。レッスン今日から開始したいとのこと。子供と大人は通常同時にレッスンしませんが、本日希望とのことと、一緒にお時間帯に受講のYuto Shinozaki様がおとなしいこともあり、Shamの許可で同時レッスンに。2月分2回スケジュール、お月謝paypayでいただきました。
21,2Fw97ce,May,26/02/2025,私が席を外している間に3月分のお月謝、スケジュール訊かぬままお帰りになってしまいました。あとから担当していたAna先生に訊いたところスケジュール未定と話していたとのことなので、お支払いも初回でスケジュール今度ごれんらくなさるのかと思います。
22,Uiv1cIL,Manna,04/01/2025,本日のレッスンを1時間前倒しして14時開始にされました。
22,og5EBm7,Rie,11/01/2025,2月分（全2回）スケジュール、お支払（PayPay）お済みです。
22,FFKHShu,Rie,14/02/2025,メールにて2/15 のレッスンを2/22 にお振替ご希望とのご連絡がありました。15時～と連続でご受講ご希望とのことで、14時～ご予約。この日は2時間ご受講。
22,8X6hbqw,Rie,22/02/2025,3月分（全5回）スケジュール、お支払い（PayPay）共にお済みです。
22,SUGSKUK,Manna,07/03/2025,メールにてご連絡あり。3/8のレッスンのお振替ご希望。3/15（土）での2時間連続レッスンをご希望。お時間ご確認中。返信待ち。→ご返信あり。14時～で決定。
22,kPDut9N,May,29/03/2025,本日のレッスンを「前倒し」希望、しかしそれだとお振替扱いになるため当日連絡では対応不可であり、予約通りに来て欲しいこと、もし難しいならオンラインに変更することなら可能であることお伝えしました。
22,vhuDHaQ,May,29/03/2025,4月分（全4回）スケジュール固定通り、お支払（PayPay）お済みです。
22,dW8W3dq,Manna,04/04/2025,明日4/5のレッスン時間の前倒しご希望。空きをご案内し、返信待ち。→ご返信あり。13時～で確定。
22,SLy2b2w,Fumika,12/04/2025,前日にご連絡いただき、レッスンの前倒しをご希望でしたが、レッスンが詰まっており、ご対応できませんでした。
22,DuvU14A,May,19/04/2025,洋書”The Steve Jobs Story”をお子さんのために貸し出し。
22,jIXGULr,May,26/04/2025,5月分のスケジュールを月5でご予約され、PayPayでお月謝のお支払いをなさいました。
24,hq467dI,Rie,30/11/2024,キッズパーティーへの参加のご連絡がありました。（息子さんと奥様と直将様が来られます。）
24,oSUnpdh,Manna,07/02/2024,ご返信あり。育児が落ち着くまでご休会されるそうです。いつになるかは分からないが、再開する時には連絡します、とのことです。
24,ZzrOEbS,Manna,02/02/2024,2月のスケジュールをお伺いするためメールをお送りしました。返信待ち。
24,fNR1gfm,Manna,05/01/2024,1月のスケジュールをお伺いするためメールをお送りしました。返信待ち。
24,e6ouZln,Sara,16/12/2023,本日のレッスンの日時を勘違いしていらっしゃったようで、お時間になってもお越しにならずキャンセル。メールにて9日のお振替え日程をお伺いしています。
25,uSGLlDo,Manna,07/01/2022,ご主人の直将様からご連絡あり、ミユ様は1月からはお休みなさるとの事です。
25,pPCZylq,Manna,07/01/2022,今後は、直将さまお一人のプライベートレッスンにお切替え。
25,nIjgMmq,Manna,27/11/2021,12月は1か月お休みされるそうです。2月分のお支払いは、まだです。
25,eihC9X3,Manna,30/10/2021,来月のスケジュール済み。お支払いもクレジットカードで済み。（Nomasa様とまとめてお支払い）
25,XSvYK37,Kaz,09/10/2021,次回レッスンもカレンダー通りのスケジュールであることを確認
26,1L4XsAI,Kaz,21/09/2021,退会の旨、お母さんからメールあり。返信済み。シャムへは夏生が報告。
27,RGvleqN,Manna,03/11/2022,近況をお伺いするメールをお送りしました。レッスンの再開もお誘いしてみました。
27,vEDx4Ol,Manna,26/02/2022,大学に通われるとの事で、10月頃までお休みです。
27,ekeXOlW,Manna,05/02/2022,2月分のレッスン料をクレジットカードでお支払い頂きました。
27,rW4NGOS,Manna,29/01/2022,2月分のスケジュールお伺いしました。お支払いはまだです。2月5日(土)お支払い予定。
27,TS2tJX3,Manna,08/01/2022,１月のスケジュールとお支払い、お済みです。
28,doc02gV,Michelle,25/06/2022,返金確認のメールが届きました。
28,vKZ7PTp,Manna,27/05/2022,メールの返信を頂いてお伺いしたところ、７月以降もしばらく休学したいとの事でしたので、シャムに確認して返金することになりました。
28,ohql2yP,Manna,27/05/2022,"月2回(OLD)料金の9,240円を現金でお返しします。5月28日(土)にいらっしゃる予定です。"
28,rF4b4Th,Manna,25/05/2022,メールにて「やはり6月は休みたいので返金してほしい」とのご連絡あり。『再来月(7月)以降に回す事は出来ませんか？』とお返事差し上げ、返信待ち。
28,gWxqtWM,Manna,25/05/2022,レッスン料を7月以降に回すのではなく「ご返金」をご希望の場合、シャムに確認してからご返金します。
29,HPt6ExS,Manna,06/08/2022,メールの返信が無かったのですが、再度メールしてみました。返信待ち。
29,4FBemyC,Manna,06/07/2022,7月のスケジュールについてメールでお伺いしています。返信待ち。
29,5Dpj38S,Manna,08/01/2022,ご連絡が取れないのでお電話をお掛けしたのですが、留守電になりました。
29,ZZJm357,Manna,08/01/2022,お電話あり。メールの設定のせいか何かでGreen Squareに送信できなかったとの事。
29,EVeI9RZ,Manna,08/01/2022,お嬢様の清さんの太鼓のお稽古で土曜が全部埋まってしまったため、１月２月はお休み。
30,5JBYroy,Manna,06/08/2022,メールの返信が無かったのですが、再度メールしてみました。返信待ち。
30,3vawTZM,Manna,06/07/2022,7月のスケジュールについてメールでお伺いしています。返信待ち。
30,D7rTKMt,Michelle,22/02/2022,"(太鼓の発表会は6月に延期になってしまいました。
引き続き稽古は続きますので、7月から再開させていただけたらと思います。
そしてその頃は部活を引退しているかもしれなく、曜日変更のご相談をさせていただくかもしれません。）です。"
30,rf4PxNW,Manna,08/01/2022,お母様の裕佳様からお電話あり。メールの設定のせいか何かでGreen Squareに送信できなかったとの事。
30,WUCWVA9,Manna,08/01/2022,清さんの太鼓のお稽古で土曜が全部埋まってしまったため、１月２月はお休み。
31,MK1NKOn,Rie,25/01/2025,2月分（全2回）お支払い済みです。（CC）（Ana対応）
31,EVXa2fH,Fumika,26/01/2025,2月分のスケジュール頂いています。
31,YUvPHKW,Manna,21/02/2025,3月分のスケジュール（全2回）お伺いしました。未納。3/14（金）お支払い予定。
31,kYG31dF,May,27/02/2025,明日のレッスン来れなくなったとのことで、Manaさん判断で今回は特別に来月にお振り替えOKに。３月はお振り替え含めて2回料金で3回受講です。日程調整返信待ち。
31,VcvvD9e,Rie,28/02/2025,3月のスケジュール３回分をLINEにてお知らせいただきました。3/21のみご希望の時間帯が埋まってしまっていて、日程調整中。返信待ち。（2回分はスケジュールお済みです）
31,hRcG7mi,Fumika,02/03/2025,3月20日16時からになりました。
31,M32fZe1,Fumika,25/03/2025,3月分のお月謝いただいております（CC）
31,8LwqNin,Manna,20/03/2025,4月分のスケジュール（全2回）お伺いしました。お支払いは月末（3/28）です。
31,rWR0tgF,May,28/03/2025,４月分のお月謝２回分（１：２）CCでいただきました。また、２５日のぶんをお振り替えしました。
31,z3uxkht,Manna,04/04/2025,4/18（金）のレッスンを4/15（火）にお振替されました。
31,iCvPZ4V,Manna,15/04/2025,5月分のスケジュール（全2回）、お支払い（PayPay）、共にお済みです。
32,ao9YkRW,Rie,25/01/2025,2月分（全2回）お支払い済みです。（CC）（Ana対応）
32,HMwlIgy,Fumika,26/01/2025,2月分のスケジュール頂いています。
32,CCZxmF9,Manna,21/02/2025,3月分のスケジュール（全2回）お伺いしました。未納。月末2/28（金）お支払い予定。
32,VNnhGxI,May,27/02/2025,明日のレッスン来れなくなったとのことで、Manaさん判断で今回は特別に来月にお振り替えOKに。３月はお振り替え含めて2回料金で3回受講です。日程調整返信待ち。
32,d6pI5V4,Rie,28/02/2025,3月のスケジュール３回分をLINEにてお知らせいただきました。3/21のみご希望の時間帯が埋まってしまっていて、日程調整中。返信待ち。（2回分はスケジュールお済みです）
32,wmtNlfA,Fumika,02/03/2025,3月20日16時からになりました。
32,uoHWass,Fumika,14/03/2025,3月分のお月謝いただいております。(CC)
32,EszcPNf,Manna,20/03/2025,4月分のスケジュール（全2回）お伺いしました。お支払いは月末（3/28）です。
32,8zM5zxC,May,28/03/2025,４月分のお月謝２回分（１：２）CCでいただきました。また、２５日のぶんをお振り替えしました。
32,x2txd56,Manna,04/04/2025,4/18（金）のレッスンを4/15（火）にお振替されました。
32,IUiwBQr,Manna,15/04/2025,5月分のスケジュール（全2回）、お支払い（PayPay）、共にお済みです。
33,KQKzmA1,Sara,03/05/2023,ご来店くださりました！！！現在は英語スクールで受付をしていらっしゃるそうです。
33,veJfFsR,Sara,02/05/2023,LINEでGWのカフェ営業についてご連絡あり。3日にいらっしゃるようです。
33,zQ70i48,Kaz,18/11/2022,カフェにお立ち寄り下さいました。お土産も頂きました。帰国されてからお仕事も決まり、大変しっかりされていました。
33,RBYrelQ,Kaz,16/11/2022,無事にカナダからご帰国されました。またカフェにご挨拶に来て下さるとのことです。
33,SlfNZZE,Kaz,19/05/2022,5月20日の午後12時にご変更を確認しました。
34,9ooCvfd,Manna,03/10/2024,ハロウィンパーティーご参加希望のメールあり。「辞めてしまったのにいいのでしょうか…。」とおっしゃっていたので、大歓迎です、とご返信しました。
34,6LAYdTE,Manna,18/02/2024,LINEにてご連絡あり。今月末のレッスンを最後に終了したいとのこと。お父様がオンライン大学を始められることで経済的負担が大きくなるため。また、次から小学校、学童が始まるため集団生活で今より病気をもらいやすくなる環境になり、当日キャンセルが増えるだろうから、とのこと。創一くんが今より目的を持って学習に取り組めるようになったらまたレッスンを再開したいとおっしゃっていました。
34,IIJjDVU,Manna,18/02/2024,当日キャンセルについては、以前ほど柔軟にご対応できなくなっていることを謝罪し、また戻って来てくれると嬉しいです、とご返信。
34,YTqYkWT,Manna,18/02/2024,contactsは「退会した生徒さん」にラベルを変更しておきました。
34,OUwBsND,Manna,17/02/2024,本日のレッスンをお忘れだったようで来られませんでした。お電話をしてつながったのですが、エミちゃんがお腹を下してるとのことでえ当日キャンセル。
35,RLDbKRA,Manna,30/03/2022,お引越しをされて、今日でレッスンをお辞めになったそうです。
35,1OoQoxa,Manna,30/03/2022,カレンダー削除済みです。
35,jSrJyiG,Manna,16/02/2022,3月も月２回。スケジュールとお支払い（クレジットカード）お済みです。
35,vzNvkWR,Manna,19/01/2022,2月のスケジュールは月２回で。
35,yrFNEWa,Manna,19/01/2022,２月分のお支払い、クレジットカードでお済みです。
36,v2BnRIr,Rie,11/05/2023,5/9のレッスンを５/12に変更。
36,GhTpYTB,Kaz,07/12/2022,12月のレッスンに関してメールを拝受。ご返信待ち。
36,nSMnXAC,Manna,07/12/2022,ご返信あり。12月のレッスン（2回）決定。
36,mwlBcCt,Sara,28/11/2022,次回4回目のレッスンについて連絡あり。スケジュール済み。
36,sdkOB8F,Kaz,24/11/2022,次回3回目ののレッスンに関してシャム宛にメールあり。シャムに確認し代わりに返信。26日（土）12時に確定しました。
37,3vYJikQ,Sara,04/10/2022,お子様の行事が続いてしまうため、今月はお休みしたいとのこと。１１月のご予定についてお伺いしています。
37,yurzyoB,Sunny,24/09/2022,10月は用事があるためスケジュール確認が難しく、後日メールにてご連絡いただきます。月謝も後日お支払予定です。シャムもメールのことは把握済み
37,BgTj7p3,Kaz,23/08/2022,9月分のスケジュールとお支払い済み。
37,8R52IOW,Kaz,28/07/2022,本日のレッスンをお忘れで29日の17時に振替しました。
37,Gm84iZJ,Kaz,21/07/2022,メールにて23日10時のレッスンを28日の16時にご変更。
38,pn84KHE,Manna,04/09/2021,急患が入ったためDemo lesson一旦キャンセル（振替希望）
39,TV08XHC,Manna,13/01/2022,本日現在、未だ連絡が取れません。LINEビジネスにも「既読」がつかず。（少し心配）
39,FIEYbNH,Manna,23/12/2021,ご連絡無く当日キャンセル。お電話、メール、LINEビジネスからご連絡差し上げたのですが、連絡つかず。
39,GVJd0Rb,Manna,22/12/2021,メールの行き違いでこちらからの返信が届いていなかったようで、本日12月22日のレッスンがキャンセルになりました。
39,DP6sBlI,Manna,22/12/2021,行き違いでのキャンセルなので、1月は4回分のレッスン料で5回ご受講頂くようお願いします。
39,1a3spVv,Manna,18/12/2021,お振替の日時を12月22日(水)19時～にしました。
40,jp5DJMg,Kaz,07/11/2022,10月27日に久し振りにお母様からメールが届いたようです。ハロウィーンはご参加！？
40,HfoGuoO,Kaz,15/07/2022,7月のスケジュールがまだでしたのでメールしました。
40,sjkJ1ml,Kaz,15/06/2022,6月分のお支払いいただきました。映画もサインナップしました。⇒ 映画は朝の7時と勘違いしていたとの事で、今回は不参加だそうです。
40,zXCjUnH,Manna,03/06/2022,メールにお返事頂き、6月分のスケジュール（月2回）決定しました。
40,Es26tOX,Manna,02/06/2022,お母様からメールの返信がありました。また6月から、月２回でレッスン再開したいとのこと。
41,jkTGLGZ,Manna,17/09/2024,Evaluationのメールが行ってしまったらしく「今後メールをしないで下さい」との返信が来てしまいました。
41,DwqXzh6,Manna,05/08/2024,カクテルナイトのニュースレターに対して、今後連絡してほしくない様子だったので、Contactからラベルを削除しておきました。
41,KihsY9e,Manna,23/06/2024,引っ越しと転職によりご退会のご意向をメールでいただきました。（メイさん対応）
41,9lsD1Yp,Manna,09/07/2022,お電話を頂く。「昨晩(23時)にメールでも送ったが、他の生徒さんと被る時間帯のレッスンだと嫌。」とのこと。今月(7月)は2回共被る旨お伝えすると、「では今月も休みます。」と。
41,4iw8VKa,Manna,09/07/2022,シャムに相談したら「月2回のレッスンでその要望はお受け出来ない。」と。なのでメールで「確約は出来ないのですが、平日だとご要望に沿えるかもしれません。」と送りました。
42,XmkhYiZ,Manna,19/01/2023,「夏生いますか？」と遊びに来てくれました。留学先から一時帰国中だそうです。夏生はもういないのですぐに帰られました。あと1週間ほど日本にいるそうです。
42,rjB9wBa,Michelle,21/12/2021,"今日用事が長引いてしまいレッスンに間に合わなくて、レッスンを振り替え。12/21⇨12/23　11時から〜　でもその日バイトがある為
30分だけレッスンを受けます。"
42,vB3jawj,Kaz,16/12/2021,12月21日のレッスンを15時から17時に変更
42,PH8hqsD,Manna,15/12/2021,閉店作業終了後（21:20頃）にお店にお電話があり、リスケジュール。
42,0JChMtI,Manna,15/12/2021,アルバイトが延長になったため、12月17日₍金₎のレッスン時間、15時 ⇒16時に変更。
43,LUQBfct,Sara,22/09/2023,返信あり。レッスン時間を確保するのが難しくなってしまったため再開未定。
43,ZnNzlmv,Sara,09/09/2023,ご連絡がないため、９月のスケジュール再度お伺いしています。返信待ち。
43,IHS9A2m,Manna,29/08/2023,9月のスケジュールをメールでお伺いしています。返信待ち。
43,YPgOZEI,Rie,02/08/2023,8月の予定が立たず、8月もお休みとのご連絡をメールにていただきました。
43,wYJK37F,Sara,25/07/2023,近況および8月のスケジュールをお伺いする旨メールにて送付済み。返信待ち。
44,Iq7Aafc,Michelle,02/11/2021,もうちょっと考えたいとメールがきました。
44,8UdB4Ws,Kaz,27/10/2021,フォローアップメールを送信済み
44,asiaTqp,Kaz,21/10/2021,シャムとデモレッスンご受講。明るい可愛らしい感じの方で大学生さん。ご感想は「新鮮ですごく楽しかった！」でした。
44,mMNQ5ax,Kaz,21/10/2021,フォローアップのメールを送りますが、月4回で火曜か水曜の夕方のレッスンをお考えだそうです。
44,WFlpM1J,Kaz,20/10/2021,本日のデモレッスンのキャンセルを承る。メールでリスケジュールの返信待ち。
45,ioN4kCr,Kaz,27/10/2021,ミシェリによると、ご主人さまに預けてレッスンを受講したいため確認されるとのこと。
45,vuX42pd,Kaz,27/10/2021,フォローアップメールがまだのようでしたので送りました。
45,nQ7YggV,Kaz,20/10/2021,ミシェリ、デモレッスンの詳細教えて下さい。Thanks!
45,R96Xraq,Michelle,14/10/2021,返信来ました。19日12時からに決定しました。
45,HdxOyNl,Kaz,13/10/2021,子供の運動会のため15日もキャンセル、メールにてリスケジュールを確認。返信待ち。
46,ouHwRFl,Manna,04/02/2023,2月のスケジュールについてメールでお伺い中。返信待ち。
46,PzNqhnB,Manna,04/02/2023,➡返信あり。2月以降もご予定が合わないため峻君と共にしばらくお休みなさるとのこと。再開時はご連絡いただけるそうです。
46,7W4AOKG,Sara,20/12/2022,ご予定が合わないため、1月は峻君と共に智子さんもお休み。2月についてはまた1月にご連絡くださるとのこと。
46,0UUGj3f,Sara,02/12/2022,12月のスケジュールについてお伺いできていないため、メール送信済み。⇨ 12月はお忙しいため1ヶ月間お休みなさるとのこと。
46,8bR3Itu,Sara,25/10/2022,11月のスケジュール、お支払いを峻君の分とともにお支払い済み。
47,UbQ2MZw,Kaz,25/03/2022,Miho Yamakiさんのレッスン時にカフェにお越しいただいたようですが、レッスンのお話はなかったようです。
47,RTCE61G,Kaz,23/03/2022,レッスンのことは書かず、再度メールしてみました。お返事あり、カフェに25日にお越しとのこと。
47,TGJ05rc,Kaz,09/03/2022,フォローアップメールして下さいました
47,uDGaWhE,Kaz,28/01/2022,2月は1ヶ月お休みされたいとのこと。オミクロンに加え、バイトや教習所等があるため。3月の予定はメール下さるそうです。
47,WC0t5YA,Kaz,28/01/2022,シャムとも話していただきました。
48,WPCOYuq,Sara,22/09/2023,返信あり。レッスン時間を確保するのが難しくなってしまったため再開未定。
